Name,Price,Image
virbac Effitix 4 - 10Kg Pipetas Antiparasitarias - 4 Pipetas.,19.49 €/u,https://img1.petsonic.com/14182-large_default/virbac-effitix-4-10kg-pipetas-antiparasitarias-para-perros.jpg
virbac Effitix 10 - 20Kg Pipetas Antiparasitarias - 4 Pipetas.,22.99 €/u,https://img3.petsonic.com/14183-large_default/virbac-effitix-10-20kg-pipetas-antiparasitarias-para-perros.jpg
virbac Effitix 20 - 40Kg Pipetas Antiparasitarias - 4 Pipetas.,24.99 €/u,https://img3.petsonic.com/14184-large_default/virbac-effitix-20-40kg-pipetas-antiparasitarias-para-perros.jpg
virbac Effitix 40 - 60Kg Pipetas Antiparasitarias - 4 Pipetas.,26.49 €/u,https://img1.petsonic.com/9599-large_default/virbac-effitix-40-60kg-pipetas-antiparasitarias-para-perros.jpg
Frontline 2-10 kg Pipetas Antiparasitaria Perro - 3 Pipetas.,15.99 €/u,https://img2.petsonic.com/15844-large_default/frontline-2-10-kg-pipetas-antiparasitaria-para-perros.jpg
Frontline 10-20 kg Pipetas Antiparasitaria Perro - 3 Pipetas.,17.99 €/u,https://img3.petsonic.com/15846-large_default/frontline-10-20-kg-pipetas-antiparasitaria-para-perros.jpg
Frontline 20-40 kg Pipetas Antiparasitaria Perro - 3 Pipetas.,20.99 €/u,https://img3.petsonic.com/15848-large_default/frontline-20-40-kg-pipetas-antiparasitaria-para-perros.jpg
Frontline 20-40 kg Pipetas Antiparasitaria Perro - 5+1 Pipetas.,37.99 €/u,https://img3.petsonic.com/15848-large_default/frontline-20-40-kg-pipetas-antiparasitaria-para-perros.jpg
Frontline 40-60 kg Pipetas Antiparasitaria Perro - 3 Pipetas.,22.99 €/u,https://img1.petsonic.com/15851-large_default/frontline-40-60-kg-pipetas-antiparasitaria-para-perros.jpg
Frontline Combo 2- 10 Kg Pipetas Antiparasitaria Perro - 3 Pipetas.,19.49 €/u,https://img3.petsonic.com/15852-large_default/frontline-combo-2-10-kg-pipetas-antiparasitaria-para-perros.jpg
Frontline Combo 2- 10 Kg Pipetas Antiparasitaria Perro - 5+1 Pipetas.,34.99 €/u,https://img3.petsonic.com/15852-large_default/frontline-combo-2-10-kg-pipetas-antiparasitaria-para-perros.jpg
Frontline Combo 10- 20 Kg Pipetas Antiparasitaria Perro - 3 Pipetas.,22.49 €/u,https://img1.petsonic.com/15854-large_default/frontline-combo-10-20-kg-pipetas-antiparasitaria-para-perros.jpg
Frontline Combo 10- 20 Kg Pipetas Antiparasitaria Perro - 5+1 Pipetas.,40.99 €/u,https://img1.petsonic.com/15854-large_default/frontline-combo-10-20-kg-pipetas-antiparasitaria-para-perros.jpg
Frontline Combo 20- 40 Kg Pipetas Antiparasitaria Perro - 3 Pipetas.,24.99 €/u,https://img3.petsonic.com/15856-large_default/frontline-combo-20-40-kg-pipetas-antiparasitaria-para-perros.jpg
Frontline Combo 20- 40 Kg Pipetas Antiparasitaria Perro - 5+1 Pipetas.,45.49 €/u,https://img3.petsonic.com/15856-large_default/frontline-combo-20-40-kg-pipetas-antiparasitaria-para-perros.jpg
Frontline Combo +40 Kg Pipetas Antiparasitaria Perro - 3 Pipetas.,27.49 €/u,https://img2.petsonic.com/15858-large_default/frontline-combo-40-kg-pipetas-antiparasitaria-para-perros.jpg
Frontline Combo +40 Kg Pipetas Antiparasitaria Perro - 5+1 Pipetas.,49.49 €/u,https://img2.petsonic.com/15858-large_default/frontline-combo-40-kg-pipetas-antiparasitaria-para-perros.jpg
Ecuphar Advantage Pipetas Antipulgas Perros de 0-4 Kg - 4 Pipetas.,19.99 €/u,https://img1.petsonic.com/18195-large_default/bayer-advantage-pipetas-antipulgas-0-4-kg-para-perros.jpg
Ecuphar Advantage Pipetas Antipulgas Perros de 4-10 Kg - 4 Pipetas.,20.49 €/u,https://img2.petsonic.com/18197-large_default/bayer-advantage-pipetas-antipulgas-4-10-kg-para-perros.jpg
